"country","beer_servings","spirit_servings","wine_servings","total_litres_of_pure_alcohol","continent","beer_servings._zscore","spirit_servings._zscore","wine_servings._zscore","total_litres_of_pure_alcohol._zscore","beer_servings.zscore","spirit_servings.zscore","wine_servings.zscore","total_litres_of_pure_alcohol.zscore","beer_servings.zscore.1","spirit_servings.zscore.1","wine_servings.zscore.1","total_litres_of_pure_alcohol.zscore.1","beer_servings zscore","spirit_servings zscore","wine_servings zscore","total_litres_of_pure_alcohol zscore"
"Afghanistan",0,0,0,0,"AS",-1.04960812053787,-0.917431610637915,-0.620480141925007,-1.25012608072037,-1.04960812053787,-0.917431610637915,-0.620480141925007,-1.25012608072037,-1.04960812053787,-0.917431610637915,-0.620480141925007,-1.25012608072037,-1.04960812053787,-0.917431610637915,-0.620480141925007,-1.25012608072037
"Albania",89,132,54,4.9,"EU",-0.16966675265857,0.577737767088001,0.0570810524528663,0.0484725951773168,-0.16966675265857,0.577737767088001,0.0570810524528663,0.0484725951773168,-0.16966675265857,0.577737767088001,0.0570810524528663,0.0484725951773168,-0.16966675265857,0.577737767088001,0.0570810524528663,0.0484725951773168
"Algeria",25,0,14,0.7,"AF",-0.802433578998742,-0.917431610637915,-0.444816128567781,-1.06461198416356,-0.802433578998742,-0.917431610637915,-0.444816128567781,-1.06461198416356,-0.802433578998742,-0.917431610637915,-0.444816128567781,-1.06461198416356,-0.802433578998742,-0.917431610637915,-0.444816128567781,-1.06461198416356
"Andorra",245,138,312,12.4,"EU",1.3727023865456,0.645700011530088,3.29431787003604,2.0361236297146,1.3727023865456,0.645700011530088,3.29431787003604,2.0361236297146,1.3727023865456,0.645700011530088,3.29431787003604,2.0361236297146,1.3727023865456,0.645700011530088,3.29431787003604,2.0361236297146
"Angola",217,57,45,5.9,"AF",1.09586690002178,-0.271790288438087,-0.0558458132767792,0.313492733115621,1.09586690002178,-0.271790288438087,-0.0558458132767792,0.313492733115621,1.09586690002178,-0.271790288438087,-0.0558458132767792,0.313492733115621,1.09586690002178,-0.271790288438087,-0.0558458132767792,0.313492733115621
"Antigua & Barbuda",102,128,45,4.9,NA,-0.0411359910582221,0.53242960412661,-0.0558458132767792,0.0484725951773168,-0.0411359910582221,0.53242960412661,-0.0558458132767792,0.0484725951773168,-0.0411359910582221,0.53242960412661,-0.0558458132767792,0.0484725951773168,-0.0411359910582221,0.53242960412661,-0.0558458132767792,0.0484725951773168
"Argentina",193,25,221,8.3,"SA",0.858579340144211,-0.634255592129218,2.15250178321407,0.949541064167552,0.858579340144211,-0.634255592129218,2.15250178321407,0.949541064167552,0.858579340144211,-0.634255592129218,2.15250178321407,0.949541064167552,0.858579340144211,-0.634255592129218,2.15250178321407,0.949541064167552
"Armenia",21,179,11,3.8,"EU",-0.841981505645003,1.11010868188435,-0.482458417144329,-0.243049556554818,-0.841981505645003,1.11010868188435,-0.482458417144329,-0.243049556554818,-0.841981505645003,1.11010868188435,-0.482458417144329,-0.243049556554818,-0.841981505645003,1.11010868188435,-0.482458417144329,-0.243049556554818
"Australia",261,72,212,10.4,"OC",1.53089409313064,-0.10188467733287,2.03957491748442,1.50608335383799,1.53089409313064,-0.10188467733287,2.03957491748442,1.50608335383799,1.53089409313064,-0.10188467733287,2.03957491748442,1.50608335383799,1.53089409313064,-0.10188467733287,2.03957491748442,1.50608335383799
"Austria",279,75,191,9.7,"EU",1.70885976303882,-0.0679035551118262,1.77607889744858,1.32056925728118,1.70885976303882,-0.0679035551118262,1.77607889744858,1.32056925728118,1.70885976303882,-0.0679035551118262,1.77607889744858,1.32056925728118,1.70885976303882,-0.0679035551118262,1.77607889744858,1.32056925728118
"Azerbaijan",21,46,5,1.3,"EU",-0.841981505645003,-0.396387736581914,-0.557742994297426,-0.905599901400579,-0.841981505645003,-0.396387736581914,-0.557742994297426,-0.905599901400579,-0.841981505645003,-0.396387736581914,-0.557742994297426,-0.905599901400579,-0.841981505645003,-0.396387736581914,-0.557742994297426,-0.905599901400579
"Bahamas",122,176,51,6.3,NA,0.156603642173082,1.07612755966331,0.0194387638763178,0.419500788290943,0.156603642173082,1.07612755966331,0.0194387638763178,0.419500788290943,0.156603642173082,1.07612755966331,0.0194387638763178,0.419500788290943,0.156603642173082,1.07612755966331,0.0194387638763178,0.419500788290943
"Bahrain",42,63,7,2,"AS",-0.634354890752134,-0.203828043996,-0.532648135246394,-0.720085804843766,-0.634354890752134,-0.203828043996,-0.532648135246394,-0.720085804843766,-0.634354890752134,-0.203828043996,-0.532648135246394,-0.720085804843766,-0.634354890752134,-0.203828043996,-0.532648135246394,-0.720085804843766
"Bangladesh",0,0,0,0,"AS",-1.04960812053787,-0.917431610637915,-0.620480141925007,-1.25012608072037,-1.04960812053787,-0.917431610637915,-0.620480141925007,-1.25012608072037,-1.04960812053787,-0.917431610637915,-0.620480141925007,-1.25012608072037,-1.04960812053787,-0.917431610637915,-0.620480141925007,-1.25012608072037
"Barbados",143,173,36,6.3,NA,0.364230257065951,1.04214643744226,-0.168772679006425,0.419500788290943,0.364230257065951,1.04214643744226,-0.168772679006425,0.419500788290943,0.364230257065951,1.04214643744226,-0.168772679006425,0.419500788290943,0.364230257065951,1.04214643744226,-0.168772679006425,0.419500788290943
"Belarus",142,373,42,14.4,"EU",0.354343275404386,3.30755458551183,-0.0934881018533277,2.56616390559121,0.354343275404386,3.30755458551183,-0.0934881018533277,2.56616390559121,0.354343275404386,3.30755458551183,-0.0934881018533277,2.56616390559121,0.354343275404386,3.30755458551183,-0.0934881018533277,2.56616390559121
"Belgium",295,84,212,10.5,"EU",1.86705146962386,0.0340398115513044,2.03957491748442,1.53258536763182,1.86705146962386,0.0340398115513044,2.03957491748442,1.53258536763182,1.86705146962386,0.0340398115513044,2.03957491748442,1.53258536763182,1.86705146962386,0.0340398115513044,2.03957491748442,1.53258536763182
"Belize",263,114,8,6.8,NA,1.55066805645377,0.37385103376174,-0.520100705720878,0.552010857260095,1.55066805645377,0.37385103376174,-0.520100705720878,0.552010857260095,1.55066805645377,0.37385103376174,-0.520100705720878,0.552010857260095,1.55066805645377,0.37385103376174,-0.520100705720878,0.552010857260095
